"Datum (UTC)","Nicht Erneuerbar","Erneuerbar","Last","Day-Ahead Auktion","Intraday kontinuierlich, Durchschnittspreis","CO2 Emissionszertifikate, Auktion DE"
2021-12-31T23:00:00.000Z,,,,50.05,44.5,82.25
2022-01-01T00:00:00.000Z,12.184,36.895,41.536,41.33,42.21,82.25
2022-01-01T01:00:00.000Z,12.109,35.449,40.481,43.22,41.95,82.25
2022-01-01T02:00:00.000Z,12.128,34.155,39.564,45.46,40.96,82.25
2022-01-01T03:00:00.000Z,12.156,32.896,39.338,37.67,32.66,82.25
2022-01-01T04:00:00.000Z,12.379,30.834,38.827,39.7,36.96,82.25
2022-01-01T05:00:00.000Z,12.502,30.498,38.413,40.59,39.49,82.25
2022-01-01T06:00:00.000Z,12.817,29.682,39.087,43.26,42.18,82.25
2022-01-01T07:00:00.000Z,13.158,28.053,40.305,49.66,42.2,82.25
2022-01-01T08:00:00.000Z,13.308,28.837,42.511,70.05,54.16,82.25
2022-01-01T09:00:00.000Z,13.583,29.426,44.383,76.79,63.74,82.25
2022-01-01T10:00:00.000Z,13.726,29.787,46.733,84.1,67.46,82.25
2022-01-01T11:00:00.000Z,14.004,30.004,47.315,94.74,71.19,82.25
2022-01-01T12:00:00.000Z,13.67,28.155,46.392,96.8,68.12,82.25
2022-01-01T13:00:00.000Z,14.585,25.78,45.729,97.17,69.21,82.25
2022-01-01T14:00:00.000Z,16.491,23.617,45.663,101,76.09,82.25
2022-01-01T15:00:00.000Z,17.627,23.847,47.864,126.6,94.15,82.25
2022-01-01T16:00:00.000Z,18.173,25.931,51.405,149.97,103.21,82.25
2022-01-01T17:00:00.000Z,18.517,28.03,52.288,146.33,105.78,82.25
2022-01-01T18:00:00.000Z,17.976,30.035,51.321,140.28,100.58,82.25
2022-01-01T19:00:00.000Z,16.673,31.151,49.466,121.88,90.98,82.25
2022-01-01T20:00:00.000Z,15.555,31.721,48.009,102.61,76.27,82.25
2022-01-01T21:00:00.000Z,15.077,32.182,47.437,97.46,76.77,82.25
2022-01-01T22:00:00.000Z,13.686,32.549,44.832,85.16,66.66,82.25
2022-01-01T23:00:00.000Z,12.561,32.565,42.675,57.08,36.22,82.25
2022-01-02T00:00:00.000Z,12.34,32.358,41.513,52.59,27.98,82.25
2022-01-02T01:00:00.000Z,12.264,31.567,40.796,48.97,4.6,82.25
2022-01-02T02:00:00.000Z,12.252,31.925,40.567,34.94,9.38,82.25
2022-01-02T03:00:00.000Z,12.296,30.83,40.742,29.56,-0.43,82.25
2022-01-02T04:00:00.000Z,12.297,31.164,40.775,33.97,2.26,82.25
2022-01-02T05:00:00.000Z,12.305,31.63,40.406,34.52,4.02,82.25
